2013/11/10,WIND_DIREC,41,291,30,70,39,42,40,39,32,18,11,22,3.8,273,321,32,23,29,292,19,296,207,242,226
2013/11/10,WIND_SPEED,0.6,1,1.1,0.5,0.7,0.6,0.9,1.5,2.8,1.8,2.7,2.7,2.7,2.9,2.4,2.4,1.3,1.7,1,1.6,1.3,0.6,1.5,1.1
2013/11/11,PM10,82,83,83,86,95,99,98,105,115,126,118,117,117,111,98,87,78,77,74,71,49,36,32,33
2013/11/11,PM2.5,49,51,51,56,57,57,59,71,77,77,74,74,77,68,58,44,36,30,30,28,22,19,19,19
2013/11/11,WIND_DIREC,188,165,216,194,184,43,34,26,45,270,34,333,308,317,39,27,18,302,25,342,350,26,22,32
2013/11/11,WIND_SPEED,0.7,1.2,1.1,1.1,1.3,0.9,1,0.6,1.2,1.2,2,1.7,2.3,2.3,2.8,3.1,1.8,1.6,2.4,2.4,1.6,1.2,1.8,1.5
2013/11/12,PM10,31,25,24,25,25,26,28,32,42,51,57,66,79,87,92,89,96,102,104,103,80,69,61,72
2013/11/12,PM2.5,12,13,11,19,17,14,9,14,20,27,31,49,54,58,62,62,57,50,54,54,41,34,30,34
2013/11/12,WIND_DIREC,25,21,292,35,14,0.2,16,22,2.6,29,119,256,241,248,274,290,351,336,28,354,28,161,275,271
2013/11/12,WIND_SPEED,0.7,0.9,1.1,1,1.1,1.2,1.3,0.9,1.2,0.9,1,1.7,1.7,2.1,2,2.1,2.2,1.5,1.6,1,1.1,0.8,1.2,1
2013/11/13,PM10,77,80,79,77,71,68,67,72,84,96,117,122,111,89,88,90,94,97,97,84,61,50,53,56
2013/11/13,PM2.5,36,37,37,37,39,38,38,38,48,57,70,69,68,53,48,43,45,37,30,29,33,26,25,27
2013/11/13,WIND_DIREC,56,122,303,28,103,278,32,25,59,72,287,33,40,313,23,7.5,18,16,19,24,359,25,25,27
2013/11/13,WIND_SPEED,0.9,1.3,1.2,1.1,0.6,1.3,1.4,1.8,1.4,1.5,1.4,1.2,1.4,2.2,2.3,2.8,2,1.7,1.9,1.3,0.8,1.6,1.6,1.3
2013/11/14,PM10,48,42,34,36,36,38,37,39,39,46,0,53,63,71,89,102,103,97,85,73,60,49,44,39
2013/11/14,PM2.5,30,21,18,10,22,20,27,23,24,21,0,13,20,31,49,57,55,51,50,45,37,17,18,15
2013/11/14,WIND_DIREC,23,37,30,37,30,29,38,27,313,66,201,150,264,326,3.6,38,39,356,49,41,22,44,4.1,49
2013/11/14,WIND_SPEED,1.4,2.1,1.2,1.4,1.2,1.4,1.7,2.4,0.7,0.8,1,1.1,1.8,2.7,2.5,3.4,3,3.1,3.9,3.2,2.4,1.4,1.3,0.9
2013/11/15,PM10,41,50,50,43,37,38,46,59,64,63,54,50,56,65,82,104,109,114,105,104,87,77,72,74
2013/11/15,PM2.5,12,15,13,19,14,21,22,30,25,31,25,35,36,40,55,62,74,64,69,63,64,57,50,45
2013/11/15,WIND_DIREC,30,17,36,28,32,28,45,37,30,355,29,310,3.3,312,52,30,3.9,3,28,20,19,36,13,30
